length|count
2|1
4|38
5|6
6|444
7|3747
8|71860
9|250312
10|409291
11|438844
12|425926
13|445826
14|448293
15|444377
16|430223
17|427222
18|408494
19|333212
20|258221
21|199887
22|141638
23|109651
24|76381
25|60550
26|50810
27|41797
28|35214
29|31647
30|20721
31|13285
32|14793
33|8217
34|7556
35|4772
36|3200
37|1877
38|2039
39|1948
40|1101
41|592
42|630
43|1027
44|614
45|299
46|210
47|49
48|5
49|130
50|126
51|331
52|54
53|7
54|48
55|57
66|30
